epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3560.56,3.1502,3.34395,1.00091,0.25019,0.20287,0.1195,0.03724,3.03837,2.31985,0.94048,0.000237853,0.000237853,0.000237853
2,7551.27,3.04075,2.42877,0.94567,0.31326,0.25359,0.18984,0.06521,2.78302,1.97502,0.91569,0.000466431,0.000466431,0.000466431
3,12534.5,2.96129,2.21014,0.93584,0.35172,0.25781,0.20577,0.07157,2.74571,1.90248,0.9109,0.000685584,0.000685584,0.000685584
4,16028.4,2.92179,2.11804,0.93587,0.35522,0.27613,0.22817,0.07993,2.6923,1.88365,0.89461,0.000671588,0.000671588,0.000671588
5,19294,2.90152,2.06819,0.91806,0.38927,0.28858,0.2509,0.08672,2.66893,1.77557,0.8952,0.000657451,0.000657451,0.000657451
6,23334.8,2.866,2.01101,0.91283,0.35938,0.28385,0.23726,0.07961,2.71758,1.82567,0.89509,0.000643314,0.000643314,0.000643314
7,27345.7,2.84735,1.98756,0.90951,0.37608,0.2826,0.23545,0.08099,2.65576,1.79664,0.88894,0.000629177,0.000629177,0.000629177
8,31710.5,2.809,1.93674,0.90306,0.41744,0.30824,0.27816,0.10091,2.59788,1.69942,0.88396,0.00061504,0.00061504,0.00061504
9,35801.7,2.8043,1.93472,0.90381,0.3951,0.31245,0.27218,0.09871,2.58383,1.73688,0.88084,0.000600902,0.000600902,0.000600902
10,39269.8,2.78068,1.91208,0.89733,0.39436,0.30492,0.2698,0.09646,2.58412,1.72246,0.87968,0.000586765,0.000586765,0.000586765
11,42648.2,2.78471,1.89329,0.89524,0.41938,0.30497,0.28296,0.10183,2.56466,1.67729,0.87425,0.000572628,0.000572628,0.000572628
12,45979.7,2.73159,1.87129,0.89917,0.42301,0.32104,0.29497,0.10888,2.52243,1.6506,0.87301,0.000558491,0.000558491,0.000558491
13,49315.3,2.74152,1.84653,0.89001,0.44019,0.31568,0.2978,0.10933,2.53965,1.64544,0.87563,0.000544354,0.000544354,0.000544354
14,52648.1,2.734,1.84338,0.89107,0.42363,0.34168,0.30544,0.11087,2.50701,1.70027,0.86873,0.000530216,0.000530216,0.000530216
15,55981.9,2.70965,1.81368,0.89211,0.43066,0.328,0.30443,0.11181,2.52144,1.63368,0.86848,0.000516079,0.000516079,0.000516079
16,59325.1,2.7272,1.81476,0.88871,0.43051,0.32674,0.30554,0.11214,2.5143,1.63968,0.86987,0.000501942,0.000501942,0.000501942
17,63103.4,2.70731,1.8004,0.88405,0.44219,0.32553,0.31101,0.11635,2.48656,1.61664,0.86751,0.000487805,0.000487805,0.000487805
18,67108.9,2.7004,1.80488,0.88114,0.45292,0.33465,0.31567,0.1169,2.47603,1.59698,0.86528,0.000473668,0.000473668,0.000473668
19,70452.7,2.68452,1.80414,0.88492,0.46447,0.33187,0.32388,0.12074,2.48196,1.57075,0.86517,0.00045953,0.00045953,0.00045953
20,73886.3,2.69084,1.77697,0.87958,0.46603,0.33873,0.32444,0.11978,2.48965,1.59487,0.8665,0.000445393,0.000445393,0.000445393
21,77830.5,2.65396,1.7466,0.88165,0.47022,0.33134,0.3237,0.12232,2.47291,1.58939,0.86379,0.000431256,0.000431256,0.000431256
22,81776.5,2.63056,1.73935,0.87813,0.46775,0.34762,0.33171,0.12396,2.46405,1.56723,0.86198,0.000417119,0.000417119,0.000417119
23,86080.6,2.64404,1.73481,0.878,0.47443,0.33598,0.33023,0.12438,2.45482,1.55803,0.86287,0.000402982,0.000402982,0.000402982
24,90255.6,2.62515,1.72227,0.87954,0.4726,0.34721,0.33677,0.12809,2.43785,1.54761,0.85972,0.000388844,0.000388844,0.000388844
25,94138.3,2.61998,1.71433,0.87925,0.48329,0.34643,0.34003,0.12765,2.44195,1.54839,0.86018,0.000374707,0.000374707,0.000374707
26,98459,2.62269,1.72163,0.87123,0.48428,0.35333,0.34619,0.13177,2.44326,1.53822,0.85857,0.00036057,0.00036057,0.00036057
27,102340,2.62216,1.70648,0.87321,0.48037,0.34885,0.34303,0.13079,2.41912,1.54466,0.85805,0.000346433,0.000346433,0.000346433
28,105757,2.61575,1.70246,0.87231,0.4983,0.34599,0.34377,0.12949,2.42063,1.53063,0.85725,0.000332296,0.000332296,0.000332296
29,109853,2.59884,1.69784,0.87175,0.49239,0.35071,0.34881,0.13268,2.41908,1.52741,0.85486,0.000318158,0.000318158,0.000318158
30,113737,2.58781,1.68839,0.87211,0.47915,0.36366,0.35099,0.13306,2.40474,1.52841,0.85449,0.000304021,0.000304021,0.000304021
31,118481,2.58923,1.67661,0.86811,0.47767,0.35689,0.34755,0.13252,2.40369,1.51754,0.85481,0.000289884,0.000289884,0.000289884
32,122667,2.58397,1.68106,0.86546,0.49119,0.35429,0.35428,0.13689,2.40167,1.50284,0.85571,0.000275747,0.000275747,0.000275747
33,126378,2.56588,1.65904,0.86733,0.49497,0.35542,0.35238,0.13623,2.39465,1.5075,0.85359,0.00026161,0.00026161,0.00026161
34,129834,2.58474,1.66401,0.86358,0.50144,0.36322,0.36377,0.13975,2.38725,1.49519,0.85244,0.000247472,0.000247472,0.000247472
35,133189,2.55804,1.64262,0.869,0.50084,0.36236,0.36243,0.1409,2.38514,1.48803,0.85256,0.000233335,0.000233335,0.000233335
36,136551,2.55776,1.63784,0.86133,0.49304,0.36365,0.3595,0.13941,2.38951,1.49009,0.85225,0.000219198,0.000219198,0.000219198
37,139940,2.53932,1.63245,0.86362,0.50715,0.35853,0.36167,0.14067,2.38669,1.48899,0.85115,0.000205061,0.000205061,0.000205061
