epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15069.7,2.64575,2.29709,0.93331,0.43618,0.33309,0.29837,0.11684,2.47212,1.81824,0.87845,0.000237853,0.000237853,0.000237853
2,31427.6,2.6941,1.87933,0.91819,0.46681,0.30111,0.29664,0.11447,2.59063,1.74069,0.89621,0.000466431,0.000466431,0.000466431
3,45865.3,2.65291,1.8061,0.91425,0.41898,0.31581,0.2932,0.11354,2.55075,1.78324,0.88979,0.000685584,0.000685584,0.000685584
4,60751.3,2.62347,1.77313,0.91509,0.47392,0.34848,0.34335,0.14077,2.4265,2.11524,0.87017,0.000671588,0.000671588,0.000671588
5,76012.1,2.5979,1.73733,0.89567,0.49607,0.35991,0.36373,0.15157,2.36921,1.77559,0.86393,0.000657451,0.000657451,0.000657451
6,91728.1,2.55784,1.68938,0.88834,0.52477,0.36601,0.38162,0.15498,2.36815,1.53101,0.86112,0.000643314,0.000643314,0.000643314
7,105841,2.52827,1.65174,0.88553,0.53316,0.36738,0.37864,0.15947,2.36404,1.56342,0.86416,0.000629177,0.000629177,0.000629177
8,122780,2.48165,1.60851,0.87892,0.52076,0.37981,0.39012,0.16368,2.30661,1.51353,0.85211,0.00061504,0.00061504,0.00061504
9,144057,2.48653,1.61125,0.88062,0.54242,0.39405,0.41009,0.17439,2.28067,1.47649,0.84834,0.000600902,0.000600902,0.000600902
10,158269,2.45373,1.58277,0.87289,0.55536,0.3893,0.40879,0.1738,2.26795,1.51269,0.84705,0.000586765,0.000586765,0.000586765
11,175111,2.45549,1.56857,0.8679,0.54591,0.40277,0.42601,0.18233,2.24602,1.46043,0.84536,0.000572628,0.000572628,0.000572628
12,195769,2.40439,1.5426,0.87272,0.56424,0.41927,0.44384,0.19084,2.20711,1.39751,0.83992,0.000558491,0.000558491,0.000558491
13,211686,2.41504,1.51751,0.86149,0.56869,0.41033,0.44276,0.1928,2.20842,1.38905,0.83857,0.000544354,0.000544354,0.000544354
14,226756,2.40187,1.51576,0.86192,0.57448,0.41339,0.43907,0.18673,2.21849,1.44337,0.84058,0.000530216,0.000530216,0.000530216
15,241133,2.3741,1.48585,0.86331,0.5811,0.42198,0.45676,0.2043,2.15314,1.35882,0.83375,0.000516079,0.000516079,0.000516079
16,259326,2.38477,1.47717,0.85874,0.5727,0.40819,0.44082,0.19392,2.18138,1.40024,0.83775,0.000501942,0.000501942,0.000501942
17,275273,2.37679,1.46546,0.85635,0.58984,0.42628,0.46076,0.20646,2.14096,1.37526,0.83116,0.000487805,0.000487805,0.000487805
18,290616,2.35358,1.46686,0.85375,0.58587,0.43173,0.46055,0.20535,2.13859,1.37283,0.83176,0.000473668,0.000473668,0.000473668
19,306432,2.34283,1.4511,0.85703,0.59606,0.42605,0.46393,0.20643,2.1437,1.35233,0.82796,0.00045953,0.00045953,0.00045953
20,321418,2.35513,1.43757,0.85073,0.59273,0.43159,0.46959,0.2089,2.1383,1.35616,0.82641,0.000445393,0.000445393,0.000445393
21,336785,2.31793,1.42127,0.85097,0.58637,0.4386,0.4745,0.20754,2.13584,1.32805,0.82724,0.000431256,0.000431256,0.000431256
22,355494,2.28136,1.39339,0.84822,0.57726,0.43573,0.46945,0.21015,2.11706,1.3359,0.82515,0.000417119,0.000417119,0.000417119
23,371592,2.3046,1.39649,0.84698,0.60297,0.43498,0.47806,0.21208,2.12789,1.3161,0.82801,0.000402982,0.000402982,0.000402982
24,386581,2.28385,1.38715,0.84858,0.58104,0.4571,0.48599,0.21826,2.11271,1.29946,0.82422,0.000388844,0.000388844,0.000388844
25,400339,2.27361,1.36496,0.8492,0.61954,0.44889,0.49156,0.21965,2.1115,1.30281,0.82537,0.000374707,0.000374707,0.000374707
26,414949,2.27303,1.37575,0.83953,0.62045,0.44618,0.49225,0.22318,2.08892,1.28247,0.82227,0.00036057,0.00036057,0.00036057
27,430199,2.27467,1.36655,0.84142,0.60716,0.46755,0.50035,0.22417,2.09306,1.2966,0.82121,0.000346433,0.000346433,0.000346433
28,450380,2.26193,1.34787,0.84202,0.60331,0.46362,0.49901,0.22388,2.09954,1.28159,0.82016,0.000332296,0.000332296,0.000332296
29,464934,2.23746,1.33737,0.84094,0.61767,0.45602,0.49936,0.22578,2.07592,1.2728,0.82053,0.000318158,0.000318158,0.000318158
30,478620,2.23217,1.33583,0.84257,0.63412,0.46257,0.51112,0.22928,2.07781,1.27264,0.81768,0.000304021,0.000304021,0.000304021
